Rank	Name	Industry	Revenue(USD millions)	Revenue growth	Employees	Headquarters	Ref
1	Walmart	Retail	514,405	  2.8%	2,200,000	Bentonville, AR	[1]
2	ExxonMobil	Oil and gas	290,212	  18.8%	71,000	Irving, TX	[2]
3	Apple	Electronics	265,595	  15.9%	132,000	Cupertino, CA	[3]
4	Berkshire Hathaway	Conglomerate	247,837	  2.4%	389,000	Omaha, NE	[4]
5	Amazon	Retail	232,887	  30.9%	647,500	Seattle, WA	[5]
6	UnitedHealth Group	Healthcare	226,247	  12.5%	300,000	Minnetonka, MN	[6]
7	McKesson	Healthcare	208,357	  4.9%	68,000	Irving, TX	[7]
8	CVS Health	Healthcare	194,579	  5.3%	295,000	Woonsocket, RI	[8]
9	AT&T	Telecommunications	170,756	  6.4%	268,220	Dallas, TX	[9]
10	AmerisourceBergen	Pharmaceuticals	167,940	  9.7%	20,500	Chesterbrook, PA	[10]
11	Chevron	Oil and gas	166,339	  23.6%	48,600	San Ramon, CA	[11]
12	Ford	Automotive	160,338	  2.3%	199,000	Detroit, MI	[12]
13	General Motors	Automotive	147,049	  6.5%	173,000	Detroit, MI	[13]
14	Costco	Retail	141,576	  9.7%	194,000	Issaquah, WA	[14]
15	Alphabet	Technology	136,819	  23.4%	98,771	Mountain View, CA	[15]
16	Cardinal Health	Healthcare	136,809	  5.3%	50,200	Dublin, OH	[16]
17	Walgreens Boots Alliance	Pharmaceuticals	131,537	  11.3%	299,000	Deerfield, IL	[17]
18	JPMorgan Chase	Financials	131,412	  15.4%	256,105	New York City, NY	[18]
19	Verizon	Telecommunications	130,863	  3.8%	144,500	New York City, NY	[19]
20	Kroger	Retail	121,162	  1.2%	453,000	Cincinnati, OH	[20]
21	General Electric	Conglomerate	120,268	  1.6%	283,000	Boston, MA	[21]
22	Fannie Mae	Financials	120,101	  6.9%	7,400	Washington, D.C.	[22]
23	Phillips 66	Oil and gas	114,217	  24.7%	14,200	Houston, TX	[23]
24	Valero	Oil and gas	111,407	  26.0%	10,261	San Antonio, TX	[24]
25	Bank of America	Financials	110,584	  10.3%	204,489	Charlotte, NC	[25]
26	Microsoft	Technology	110,360	  22.7%	131,000	Redmond, WA	[26]
27	Home Depot	Retail	108,203	  7.2%	413,000	Atlanta, GA	[27]
28	Boeing	Aerospace and defense	101,127	  8.3%	153,000	Chicago, IL	[28]
29	Wells Fargo	Financials	101,060	  3.4%	258,700	San Francisco, CA	[29]
30	Citigroup	Financials	97,120	  10.4%	204,000	New York City, NY	[30]
31	Marathon Petroleum	Oil and gas	97,102	  43.6%	60,350	Findlay, OH	[31]
32	Comcast	Telecommunications	94,507	  11.8%	184,000	Philadelphia PA	[32]
33	Anthem	Healthcare	92,105	  2.3%	63,900	Indianapolis, IN	[33]
34	Dell	Technology	90,621	  15.2%	157,000	Round Rock, TX	[34]
35	DuPont	Chemicals	85,977	  37.2%	98,000	Wilmington, DE	[35]
36	State Farm	Financials	81,732	  4.3%	56,788	Bloomington, IL	[36]
37	Johnson & Johnson	Pharmaceuticals	81,581	  6.7%	135,100	New Brunswick, NJ	[37]
38	IBM	Technology	79,591	  0.6%	381,100	Armonk, NY	[38]
39	Target	Retail	75,356	  4.8%	360,000	Minneapolis, MN	[39]
40	Freddie Mac	Financials	73,598	  1.4%	6,621	McLean, VA	[40]
41	United Parcel Service	Transportation	71,861	  9.1%	364,575	Atlanta, GA	[41]
42	Lowe's	Retail	71,309	  3.9%	245,000	Mooresville, NC	[42]
43	Intel	Technology	70,848	  12.9%	107,400	Santa Clara, CA	[43]
44	MetLife	Financials	67,941	  2.7%	48,000	New York City, NY	[44]
45	Procter & Gamble	Retail	66,832	  0.9%	92,000	Cincinnati, OH	[45]
46	United Technologies	Conglomerate	66,501	  11.1%	240,200	Farmington, CT	[46]
47	FedEx	Transportation	65,450	  8.5%	359,000	Memphis, TN	[47]
48	PepsiCo	Beverage	64,661	  1.8%	267,000	Purchase, NY	[48]
49	Archer Daniels Midland	Food production	64,341	  5.8%	31,600	Chicago, IL	[49]
50	Prudential Financial	Financials	62,992	  5.5%	50,492	Newark, NJ	[50]
