Rank	Name	Industry	Profits(USD millions)
1	Apple	Electronics	59,531
2	JPMorgan Chase	Financials	32,474
3	Alphabet	Technology	30,736
4	Bank of America	Financials	28,147
5	Wells Fargo	Financials	22,393
6	Facebook	Technology	22,112
7	Intel	Technology	21,053
8	ExxonMobil	Oil and gas	20,840
9	AT&T	Telecommunications	19,370
10	Citigroup	Financials	18,045
11	Microsoft	Technology	16,571
12	Fannie Mae	Financials	15,959
13	Verizon	Telecommunications	15,528
14	Johnson & Johnson	Pharmaceuticals	15,297
15	Chevron	Oil and gas	14,824
16	Micron	Technology	14,135
17	Walt Disney	Media	12,598
18	PepsiCo	Beverage	12,515
19	Broadcom Inc.	Telecommunications	12,259
20	UnitedHealth Group	Healthcare	11,986
