Region	Map	Area	Population(2010)	PopulationDensity	Provinces/Region	Provincial/Regional Seat
North ChinaNorth China (Huáběi)		1,556,061 km²	164,823,226	105/km²	Beijing	Dongcheng District
North ChinaNorth China (Huáběi)		1,556,061 km²	164,823,226	105/km²	Tianjin	Heping District
North ChinaNorth China (Huáběi)		1,556,061 km²	164,823,226	105/km²	Hebei	Shijiazhuang
North ChinaNorth China (Huáběi)		1,556,061 km²	164,823,226	105/km²	Shanxi	Taiyuan
North ChinaNorth China (Huáběi)		1,556,061 km²	164,823,226	105/km²	Inner Mongolia	Hohhot
Northeast ChinaNortheast China (Dōngběi)		793,300 km²	109,520,844	138/km²	Liaoning	Shenyang
Northeast ChinaNortheast China (Dōngběi)		793,300 km²	109,520,844	138/km²	Jilin	Changchun
Northeast ChinaNortheast China (Dōngběi)		793,300 km²	109,520,844	138/km²	Heilongjiang	Harbin
East ChinaEast China (Huádōng)		795,837 km²	384,364,968	483/km²	Shanghai	Huangpu District
East ChinaEast China (Huádōng)		795,837 km²	384,364,968	483/km²	Jiangsu	Nanjing
East ChinaEast China (Huádōng)		795,837 km²	384,364,968	483/km²	Zhejiang	Hangzhou
East ChinaEast China (Huádōng)		795,837 km²	384,364,968	483/km²	Anhui	Hefei
East ChinaEast China (Huádōng)		795,837 km²	384,364,968	483/km²	Fujian	Fuzhou
East ChinaEast China (Huádōng)		795,837 km²	384,364,968	483/km²	Jiangxi	Nanchang
East ChinaEast China (Huádōng)		795,837 km²	384,364,968	483/km²	Shandong	Jinan
South Central ChinaSouth Central China (Zhōngnán)		1,014,354 km²	383,559,808	378/km²	Henan	Zhengzhou
South Central ChinaSouth Central China (Zhōngnán)		1,014,354 km²	383,559,808	378/km²	Hubei	Wuhan
South Central ChinaSouth Central China (Zhōngnán)		1,014,354 km²	383,559,808	378/km²	Hunan	Changsha
South Central ChinaSouth Central China (Zhōngnán)		1,014,354 km²	383,559,808	378/km²	Guangdong	Guangzhou
South Central ChinaSouth Central China (Zhōngnán)		1,014,354 km²	383,559,808	378/km²	Guangxi	Nanning
South Central ChinaSouth Central China (Zhōngnán)		1,014,354 km²	383,559,808	378/km²	Hainan	Haikou
South Central ChinaSouth Central China (Zhōngnán)		1,014,354 km²	383,559,808	378/km²	 Hong Kong	Central and Western District
South Central ChinaSouth Central China (Zhōngnán)		1,014,354 km²	383,559,808	378/km²	 Macau	Macau
Southwest ChinaSouthwest China (Xīnán)		2,365,900 km²	192,979,243	82/km²	Chongqing	Yuzhong District
Southwest ChinaSouthwest China (Xīnán)		2,365,900 km²	192,979,243	82/km²	Sichuan	Chengdu
Southwest ChinaSouthwest China (Xīnán)		2,365,900 km²	192,979,243	82/km²	Guizhou	Guiyang
Southwest ChinaSouthwest China (Xīnán)		2,365,900 km²	192,979,243	82/km²	Yunnan	Kunming
Southwest ChinaSouthwest China (Xīnán)		2,365,900 km²	192,979,243	82/km²	Tibet	Lhasa
Northwest ChinaNorthwest China (Xīběi)		3,107,701 km²	96,644,038	31/km²	Shaanxi	Xi'an
Northwest ChinaNorthwest China (Xīběi)		3,107,701 km²	96,644,038	31/km²	Gansu	Lanzhou
Northwest ChinaNorthwest China (Xīběi)		3,107,701 km²	96,644,038	31/km²	Qinghai	Xining
Northwest ChinaNorthwest China (Xīběi)		3,107,701 km²	96,644,038	31/km²	Ningxia	Yinchuan
Northwest ChinaNorthwest China (Xīběi)		3,107,701 km²	96,644,038	31/km²	Xinjiang	Ürümqi
